# IPC subclass 中文字典 (subclass<TAB>中文名)
# 来源: WIPO IPC subclass 标准标题 + 本地 Doris ods_invention_patent_cn 高频 ipc_type 聚合
# 仅收录高频 subclass ~40 条; 未收录的 subclass 走 name_of 回退返 code 原文
# 高频计算/挖掘技术域 (G06x / G01x / G05x / G16x)
G06T	图像数据识别
G06V	图像或视频识别
G06Q	专门适用于行政/商业/金融的数据处理
G06K	图形数据读取/识别
G06F	电数字数据处理
G06N	基于特定计算模型的计算机系统
G16H	医疗信息学
# 农林 (A01x)
A01B	土壤耕作或整地
A01C	种植/播种/施肥
A01D	收获/割草
A01N	人体/动植物/其上除害剂或农药的保存
# 通信/电子 (H04x / H01x / H02x)
H04W	无线通信网络
H04L	数字信息传输
H04N	图像通信
H01L	半导体器件/电固体器件
H02J	供电或配电的电路装置或系统
# 物理/测量 (G01x / G05x / G08x)
G01N	材料/性质调查分析
G01R	电变量测量/磁变量测量
G01C	测量距离/水准/方位/测绘
G01B	长度/厚度/位移测量
G01D	非专用于特定变量的测量装置
G05B	一般控制或调节系统
G05D	非电变量的控制或调节系统
G08G	交通控制系统
# 化学/生物 (C07x / C12x / C02x)
C07K	肽
C07D	杂环化合物
C07J	甾族化合物
C12M	酶学或微生物学装置
C02F	水/废水/污水多级处理
# 机械/制造 (B25x / B23x / B32x / B29x / B65x / B33x / B31x / B41x / B07x / B01x)
B25J	机械手/操纵装置
B23K	钎焊/脱焊/焊接/切割
B32B	层状产品
B29C	塑料成型
B65G	输送机/输送系统
B33Y	增材制造工艺
B31B	纸盒/纸袋/信封制作
B41J	打字机/选择性印刷机
B07C	邮件/物件分拣
B01L	化学/物理实验室装置
H05K	印刷电路/电设备结构零部件
G03F	图案化光敏表面用的图纹照相工艺
